YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES,TOTAL SALES,LOG_TOTAL_SALES,TRANSFER_RATIO
2020,1,HEINEKEN USA,96970,HEINEKEN 2/12 NR - 12OZ,BEER,346.57,351.0,4594.5,4941.07,8.505539550754191,1.0127456339730128
2020,1,ANHEUSER BUSCH INC,96997,KIRIN ICHIBAN 4/6 NR - 12OZ,BEER,20.75,14.0,131.0,151.75,5.028802598051705,0.6896551724137931
2020,1,DOPS INC,97022,GLUTENBERG IPA - 16OZ CAN,BEER,0.0,0.0,9.0,9.0,2.302585092994046,1.0
2020,1,DOPS INC,97023,GLUTENBERG RED ALE - 160Z CAN,BEER,0.0,0.0,3.0,3.0,1.3862943611198906,1.0
2020,1,DOPS INC,97024,GLUTENBERG PALE ALE - 16OZ CAN,BEER,0.0,0.0,6.0,6.0,1.9459101490553132,1.0
2020,1,DOPS INC,97026,GLUTENBERG BLONDE - 16.0Z CAN,BEER,0.0,0.0,4.0,4.0,1.6094379124341003,1.0
2020,1,DOPS INC,97028,GLUTENBERG TASTER SEL - 16.Z CAN,BEER,0.0,0.0,2.0,2.0,1.0986122886681098,1.0
2020,1,ALLAGASH BREWING COMPANY,97039,ALLAGASH TRIPLE NR - 25.4OZ,BEER,0.0,0.0,8.0,8.0,2.1972245773362196,1.0
2020,1,ANHEUSER BUSCH INC,97055,KIRIN ICHIBAN 1/2K,KEGS,0.0,0.0,20.0,20.0,3.044522437723423,1.0
2020,1,DELMAR BREWING COMPANY LLC,97103,EVOLUTION PINEHOPLE IPA - 1/2,KEGS,0.0,0.0,1.0,1.0,0.6931471805599453,1.0
2020,1,DELMAR BREWING COMPANY LLC,97104,EVOLUTION PINEHOPLE IPA - 120Z,BEER,3.75,2.0,59.0,62.75,4.154969184038536,0.631578947368421
2020,1,DELMAR BREWING COMPANY LLC,97105,EVOLUTION PINEHOPLE IPA - 1/6,KEGS,0.0,0.0,2.0,2.0,1.0986122886681098,1.0
2020,1,ASAHI BEER USA INC,97152,ASAHI DRY 12/21.4OZ NR - 21.4OZ,BEER,0.08,1.0,43.0,43.08,3.786006164844659,1.8518518518518516
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,97160,TAJ-MAHAL NR - 22OZ,BEER,3.37,3.0,65.0,68.37,4.23945449739721,0.9153318077803203
2020,1,RELIABLE CHURCHILL LLLP,97179,LINDEMANS FRAMBOISE LAMBIC 2/6NR - 12OZ,BEER,0.0,0.0,5.0,5.0,1.791759469228055,1.0
2020,1,CROWN IMPORTS,97195,CORONA LT 2/12 NR - 12OZ,BEER,123.16,127.0,455.0,578.16,6.361578777913221,1.0309278350515465
